"ITTER107","Territorio","TIPO_DATO4","Tipo dato","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"007003","Aosta","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",1.22,,
"007003","Aosta","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",0.94,,
"012133","Varese","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",7.3,,
"012133","Varese","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",6.05,,
"012133","Varese","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",5.52,,
"013075","Como","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",3.58,,
"013075","Como","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",2.83,,
"013075","Como","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",2.39,,
"014061","Sondrio","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",5.44,,
"014061","Sondrio","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",2.86,,
"014061","Sondrio","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",1.6,,
"015146","Milano","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",22.45,,
"015146","Milano","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",12.64,,
"015146","Milano","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",4.8,,
"016024","Bergamo","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",0.71,,
"016024","Bergamo","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",1.04,,
"016024","Bergamo","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",1.04,,
"017029","Brescia","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",25.38,,
"017029","Brescia","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",4.9,,
"017029","Brescia","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",3.96,,
"018110","Pavia","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",13.67,,
"018110","Pavia","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",12.02,,
"018110","Pavia","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",12.02,,
"019036","Cremona","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",20.86,,
"019036","Cremona","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",28.12,,
"019036","Cremona","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",11.08,,
"020030","Mantova","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",44.45,,
"020030","Mantova","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",18.12,,
"020030","Mantova","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",18.12,,
"097042","Lecco","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",5.62,,
"097042","Lecco","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",3.63,,
"097042","Lecco","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",3.53,,
"098031","Lodi","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",15.85,,
"098031","Lodi","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",12.2,,
"098031","Lodi","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",3.27,,
"108033","Monza","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",5.55,,
"108033","Monza","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",3.5,,
"108033","Monza","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",0.59,,
"021008","Bolzano/Bozen","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",1.59,,
"021008","Bolzano/Bozen","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",1.22,,
"021008","Bolzano/Bozen","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",0.01,,
"022205","Trento","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",14.54,,
"022205","Trento","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",9.87,,
"022205","Trento","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",5.93,,
"023091","Verona","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",12.82,,
"023091","Verona","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",10.31,,
"023091","Verona","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",9.49,,
"024116","Vicenza","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",23.84,,
"024116","Vicenza","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",15.5,,
"024116","Vicenza","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",11.75,,
"025006","Belluno","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",0.08,,
"025006","Belluno","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",0.07,,
"025006","Belluno","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",0.06,,
"026086","Treviso","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",0.27,,
"026086","Treviso","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",0.26,,
"026086","Treviso","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",0.21,,
"027042","Venezia","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",128.4,,
"027042","Venezia","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",24.97,,
"027042","Venezia","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",12.11,,
"028060","Padova","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",32.57,,
"028060","Padova","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",26.03,,
"028060","Padova","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",20.47,,
"029041","Rovigo","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",107.27,,
"029041","Rovigo","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",0.95,,
"029041","Rovigo","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",0,,
"030129","Udine","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",0.43,,
"030129","Udine","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",0.43,,
"030129","Udine","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",0.32,,
"031007","Gorizia","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",2.47,,
"031007","Gorizia","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",2.23,,
"031007","Gorizia","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",1.2,,
"032006","Trieste","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",0.79,,
"032006","Trieste","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",0.29,,
"032006","Trieste","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",0.09,,
"093033","Pordenone","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",5.33,,
"093033","Pordenone","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",4.17,,
"093033","Pordenone","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",4.08,,
"008031","Imperia","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",1.53,,
"008031","Imperia","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",1.34,,
"008031","Imperia","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",1.15,,
"009056","Savona","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",4.37,,
"009056","Savona","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",2.15,,
"009056","Savona","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",1.32,,
"010025","Genova","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",11.03,,
"010025","Genova","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",8.9,,
"010025","Genova","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",6.99,,
"011015","La Spezia","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",2.23,,
"011015","La Spezia","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",2.2,,
"011015","La Spezia","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",1.15,,
"033032","Piacenza","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",49.57,,
"033032","Piacenza","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",74.72,,
"033032","Piacenza","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",19.11,,
"034027","Parma","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",127.82,,
"034027","Parma","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",136.14,,
"034027","Parma","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",27.71,,
"035033","Reggio nell'Emilia","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",45.26,,
"035033","Reggio nell'Emilia","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",230.68,,
"035033","Reggio nell'Emilia","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",11.37,,
"036023","Modena","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",110.4,,
"036023","Modena","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",42.74,,
"036023","Modena","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",9.3,,
"037006","Bologna","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",88.49,,
"037006","Bologna","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",81.28,,
"037006","Bologna","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",8.26,,
"038008","Ferrara","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",405.14,,
"038008","Ferrara","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",405.14,,
"038008","Ferrara","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",168.96,,
"039014","Ravenna","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",86.12,,
"039014","Ravenna","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",653.62,,
"039014","Ravenna","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",198.02,,
"040012","Forlì","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",,"u","dato indisponibile o incerto (vedasi metadati di dataset)"
"040012","Forlì","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",169.93,,
"040012","Forlì","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",29.52,,
"099014","Rimini","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",3.42,,
"099014","Rimini","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",85.6,,
"099014","Rimini","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",47.71,,
"045010","Massa","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",30.27,,
"045010","Massa","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",14.3,,
"045010","Massa","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",7.17,,
"046017","Lucca","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",61.49,,
"046017","Lucca","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",38.55,,
"046017","Lucca","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",23.19,,
"047014","Pistoia","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",64.96,,
"047014","Pistoia","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",40.39,,
"047014","Pistoia","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",18.85,,
"048017","Firenze","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",59,,
"048017","Firenze","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",38.13,,
"048017","Firenze","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",6.99,,
"049009","Livorno","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",43.28,,
"049009","Livorno","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",11.36,,
"049009","Livorno","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",5.85,,
"050026","Pisa","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",184.84,,
"050026","Pisa","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",112.44,,
"050026","Pisa","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",71.37,,
"051002","Arezzo","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",60.19,,
"051002","Arezzo","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",32.15,,
"051002","Arezzo","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",7.03,,
"052032","Siena","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",23.35,,
"052032","Siena","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",11.75,,
"052032","Siena","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",2.59,,
"053011","Grosseto","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",364.64,,
"053011","Grosseto","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",168.74,,
"053011","Grosseto","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",113.95,,
"100005","Prato","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",70.03,,
"100005","Prato","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",42.29,,
"100005","Prato","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",15.22,,
"054039","Perugia","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",28.31,,
"054039","Perugia","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",21.62,,
"054039","Perugia","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",13.56,,
"055032","Terni","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",13.79,,
"055032","Terni","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",10.65,,
"055032","Terni","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",6.96,,
"041044","Pesaro","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",,"u","dato indisponibile o incerto (vedasi metadati di dataset)"
"041044","Pesaro","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",9.28,,
"041044","Pesaro","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",,"u","dato indisponibile o incerto (vedasi metadati di dataset)"
"042002","Ancona","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",,"u","dato indisponibile o incerto (vedasi metadati di dataset)"
"042002","Ancona","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",0.46,,
"042002","Ancona","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",,"u","dato indisponibile o incerto (vedasi metadati di dataset)"
"043023","Macerata","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",,"u","dato indisponibile o incerto (vedasi metadati di dataset)"
"043023","Macerata","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",1.85,,
"043023","Macerata","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",,"u","dato indisponibile o incerto (vedasi metadati di dataset)"
"044007","Ascoli Piceno","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",6.48,,
"044007","Ascoli Piceno","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",6.06,,
"044007","Ascoli Piceno","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",2.86,,
"109006","Fermo","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",,"u","dato indisponibile o incerto (vedasi metadati di dataset)"
"109006","Fermo","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",7.24,,
"109006","Fermo","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",,"u","dato indisponibile o incerto (vedasi metadati di dataset)"
"056059","Viterbo","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",0,,
"056059","Viterbo","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",0,,
"056059","Viterbo","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",0,,
"057059","Rieti","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",46.13,,
"057059","Rieti","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",45.43,,
"057059","Rieti","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",44.02,,
"058091","Roma","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",142.81,,
"058091","Roma","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",126.28,,
"058091","Roma","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",98.32,,
"059011","Latina","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",7.75,,
"059011","Latina","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",6.88,,
"059011","Latina","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",2.05,,
"060038","Frosinone","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",1.54,,
"060038","Frosinone","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",1.45,,
"060038","Frosinone","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",0.54,,
"066049","L'Aquila","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",15.86,,
"066049","L'Aquila","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",13.53,,
"066049","L'Aquila","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",7.8,,
"067041","Teramo","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",4.04,,
"067041","Teramo","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",3.53,,
"067041","Teramo","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",2.83,,
"068028","Pescara","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",8.87,,
"068028","Pescara","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",8.08,,
"068028","Pescara","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",3.49,,
"069022","Chieti","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",4.32,,
"069022","Chieti","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",3.47,,
"069022","Chieti","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",3.09,,
"070006","Campobasso","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",0.06,,
"070006","Campobasso","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",0.06,,
"070006","Campobasso","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",0.04,,
"094023","Isernia","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",1.48,,
"094023","Isernia","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",1.33,,
"094023","Isernia","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",0.74,,
"061022","Caserta","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",0.16,,
"061022","Caserta","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",0.16,,
"061022","Caserta","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",0.13,,
"062008","Benevento","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",6.28,,
"062008","Benevento","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",5.84,,
"062008","Benevento","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",4.72,,
"063049","Napoli","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",9.54,,
"063049","Napoli","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",1.8,,
"063049","Napoli","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",1.8,,
"064008","Avellino","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",0.61,,
"064008","Avellino","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",0.51,,
"064008","Avellino","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",0.36,,
"065116","Salerno","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",2.46,,
"065116","Salerno","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",2.11,,
"065116","Salerno","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",0.61,,
"071024","Foggia","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",86,,
"071024","Foggia","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",80.54,,
"071024","Foggia","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",74.21,,
"072006","Bari","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",6.47,,
"072006","Bari","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",6.09,,
"072006","Bari","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",4.52,,
"073027","Taranto","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",17.93,,
"073027","Taranto","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",15.53,,
"073027","Taranto","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",12.9,,
"074001","Brindisi","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",4.46,,
"074001","Brindisi","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",4.16,,
"074001","Brindisi","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",3.84,,
"075035","Lecce","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",0.1,,
"075035","Lecce","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",0.09,,
"075035","Lecce","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",0.06,,
"110001","Andria","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",3.29,,
"110001","Andria","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",3.1,,
"110001","Andria","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",2.75,,
"110002","Barletta","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",17.89,,
"110002","Barletta","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",16.87,,
"110002","Barletta","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",13.46,,
"110009","Trani","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",1.65,,
"110009","Trani","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",1.52,,
"110009","Trani","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",1.19,,
"076063","Potenza","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",0.99,,
"076063","Potenza","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",0.94,,
"076063","Potenza","HIGHFLHZ","aree a pericolosità idraulica elevata (kmq)","2017","2017",0.75,,
"077014","Matera","LOWFLHZ","aree a pericolosità idraulica bassa (kmq)","2017","2017",16.09,,
"077014","Matera","MEDFLHZ","aree a pericolosità idraulica media (kmq)","2017","2017",15.24,,
